# [0]           [1]         [2]           [3]        [4]             [5]                   [6]
# String number,String name,float credits,Enum Group,int[] semesters,List<String> keywords,List<String> prereqs

# COMP_CORE
BIOL 226,Biodiversity and Ecology,3.00,GEN_ELEC,2:4,biology,
BIOL 261,Molecular and General Genetics,3.00,GEN_ELEC,2:4,biology,
CHEM 209,Discovering Biotechnology,3.00,GEN_ELEC,4,chemistry,
CHEM 217,Introductory Analytical Chemistry I,3.00,GEN_ELEC,2,chemisty,CHEM 205:CHEM 206
CHEM 221,Introductory Organic Chemistry I,3.00,GEN_ELEC,2:4,chemistry,CHEM 205:CHEM 206
CHEM 234,Physical Chemistry I: Thermodynamics,3.00,GEN_ELEC,2:4,chemistry,CHEM 205:CHEM 206:PHYS 204:PHYS 205
GEOL 206,Earthquakes Drifting Continents and Volcanoes,3.00,GEN_ELEC,1,geology,
GEOL 208,The Earth Moon and the Planets,3.00,GEN_ELEC,2,geology,
PHYS 252,Optics,3.00,GEN_ELEC,4,physics,PHYS 206
PHYS 253,Electricity and Magnetism I,3.00,GEN_ELEC,2,physiscs,PHYS 205:MAST 218
PHYS 334,Thermodynamics,3.00,GEN_ELEC,2,physics,PHYS 204:MAST 218:MAST 219
PHYS 354,Electricity and Magnetism II,3.00,GEN_ELEC,4,physics,PHYS 253:MAST 219
COMP 442,Compiler Design,4.00,GEN_ELEC,4,compiler:programming:logic,COMP 228:COMP 335:COMP352
COMP 451,Database Design,4.00,GEN_ELEC,4,database:program design,COMP 353
COMP 473,Pattern Recognition,4.00,GEN_ELEC,2,statistics:mathematics:artificial intelligence,COMP 352
COMP 474,Intelligent Systems,4.00,GEN_ELEC,2:4,statistics:artificial intelligence,COMP 352
COMP 478,Image Processing,4.00,GEN_ELEC,2,computer graphics:algorithms,COMP 352
COMP 229,System Software,3.00,GEN_ELEC,2,hardware:operating systems,COMP 228:COMP 248
COMP 239,Mathematics for Computer Science II,3.00,GEN_ELEC,2,combinatorics:mathematics:algorithms:logic,COMP 232
COMP 318,Introduction to Database Applications,4.00,GEN_ELEC,4,databases,COMP 218
COMP 327,Digital System Design,4.00,GEN_ELEC,4,hardware:logic,COMP 228
